Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
MX000017004201001TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,278,,
MX000017004201001TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,145,,
MX000017004201001PRCP-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MX000017004201002TMAX-9999,273,241,-9999,-9999,-9999,-9999,-9999,-9999,297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201002TMIN-9999,144,144,-9999,-9999,-9999,-9999,-9999,-9999,134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201002PRCP-9999,0,0,-9999,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,0,0,-9999,-9999,-9999,-9999,-9999,,,,,,,,,
MX000017004201003TMAX-9999,-9999,-9999,-9999,321,-9999,-9999,-9999,345,-9999,-9999,-9999,-9999,311,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201003TMIN-9999,-9999,-9999,-9999,142,-9999,-9999,-9999,168,-9999,-9999,-9999,-9999,176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,
MX000017004201003PRCP-9999,0,0,0,0,-9999,0,0,0,0,0,-9999,0,0,0,0,-9999,0,-9999,0,0,-9999,0,,,,,,,,,
MX000017004201004TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,363,-9999,-9999,-9999,,
MX000017004201004TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,167,-9999,-9999,-9999,,
MX000017004201004PRCP,0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0,,,,,
MX000017004201005TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,332,-9999,-9999,-9999,,
MX000017004201005TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,182,-9999,-9999,-9999,,
MX000017004201005PRCP-9999,-9999,-9999,0,0,0,-9999,0,0,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,25,0,,,,,,,,,,
MX000017004201006TMAX-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,280,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,301,-9999,,,
MX000017004201006TMIN-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,180,-9999,,,
